Term;Scientific Name;Type;workId;WordsFrame;Sentence
tree;Tracheophyta;organism;PG10002;12.0;i happened, one day, to be walking along its southern edge, when, suddenly, several pieces of rock and shale were dislodged from the face of the cliff immediately beneath me, and fell with a sullen crash through the trees.
pepper;Capsicum frutescens;organism;PG10002;12.0;i should not have given this incident more than a passing thought, had not pepper at once begun to bark savagely, nor would he be silent when i bade him, which is most unusual behavior on his part.
pepper;Capsicum frutescens;organism;PG10002;12.0;when i returned, pepper had ceased his barks and was growling and smelling, uneasily, along the top.
pepper;Capsicum frutescens;organism;PG10002;12.0;once down, pepper and i started to explore along the banks of the river.
tree;Tracheophyta;organism;PG10002;12.0;it was very dark there due to the overhanging trees, and i moved warily, keeping my glance about me and my stick ready.
pepper;Capsicum frutescens;organism;PG10002;12.0;pepper was quiet now and kept close to me all the time.
pepper;Capsicum frutescens;organism;PG10002;13.0;at this, pepper gave out a deep growl, then stopped, and pricked up his ears.
tree;Tracheophyta;organism;PG10002;13.0;a second later, a loud, half-human, half-piglike squeal sounded from among the trees, apparently about halfway up the south cliff.
pepper;Capsicum frutescens;organism;PG10002;13.0;at this, pepper gave a short, sharp bark, and, springing across the little river, disappeared into the bushes.
bush;Viburnum plicatum;organism;PG10002;13.0;at this, pepper gave a short, sharp bark, and, springing across the little river, disappeared into the bushes.
pepper;Capsicum frutescens;organism;PG10002;13.0;almost immediately, pepper gave a long-drawn howl of pain, and then the shrubs were violently agitated, and he came running out with his tail down, and glancing as he ran over his shoulder.
claw;Amniota;body;PG10002;13.0;as he reached me, i saw that he was bleeding from what appeared to be a great claw wound in the side that had almost laid bare his ribs.
pepper;Capsicum frutescens;organism;PG10002;13.0;seeing pepper thus mutilated, a furious feeling of anger seized me, and, whirling my staff, i sprang across, and into the bushes from which pepper had emerged.
bush;Viburnum plicatum;organism;PG10002;13.0;seeing pepper thus mutilated, a furious feeling of anger seized me, and, whirling my staff, i sprang across, and into the bushes from which pepper had emerged.
bush;Viburnum plicatum;organism;PG10002;13.0;next instant, i had burst into a little clear space, just in time to see something, livid white in color, disappear among the bushes on the opposite side.
pepper;Capsicum frutescens;organism;PG10002;13.0;with a shout, i ran toward it, but, though i struck and probed among the bushes with my stick, i neither saw nor heard anything further, and so returned to pepper.
bush;Viburnum plicatum;organism;PG10002;13.0;with a shout, i ran toward it, but, though i struck and probed among the bushes with my stick, i neither saw nor heard anything further, and so returned to pepper.
wildcat;Felis silvestris;organism;PG10002;13.0;on reaching the house, my sister inquired what had happened to pepper, and i told her he had been fighting with a wildcat, of which i had heard there were several about.
pepper;Capsicum frutescens;organism;PG10002;13.0;on reaching the house, my sister inquired what had happened to pepper, and i told her he had been fighting with a wildcat, of which i had heard there were several about.
wildcat;Felis silvestris;organism;PG10002;13.0;i felt it would be better not to tell her how it had really happened, though, to be sure, i scarcely knew myself, but this i did know, that the thing i had seen run into the bushes was no wildcat.
bush;Viburnum plicatum;organism;PG10002;13.0;i felt it would be better not to tell her how it had really happened, though, to be sure, i scarcely knew myself, but this i did know, that the thing i had seen run into the bushes was no wildcat.
pig;Sus;organism;PG10002;13.0;'a pig, by jove!'
pig;Suidae;organism;PG10002;13.0;'a pig, by jove!'
pig;Sus;organism;PG10002;13.0;thus, i saw the thing more completely, but it was no pig--god alone knows what it was.
pig;Suidae;organism;PG10002;13.0;thus, i saw the thing more completely, but it was no pig--god alone knows what it was.
snout;Mammalia;body;PG10002;13.0;the nose was prolonged into a snout, thus it was that with the little eyes and queer ears, gave it such an extraordinarily swinelike appearance.
snout;Libythea;organism;PG10002;13.0;the nose was prolonged into a snout, thus it was that with the little eyes and queer ears, gave it such an extraordinarily swinelike appearance.
grunt;Haemulon;organism;PG10002;13.0;the mouth kept jabbering, inanely, and once emitted a half-swinish grunt.
claw;Amniota;body;PG10002;13.0;these claws, unlike the face, were of a clayey brown hue, and bore an indistinct resemblance to human hands, in that they had four fingers and a thumb, though these were webbed up to the first joint, much as are a duck's.
duck;Anatidae;organism;PG10002;13.0;these claws, unlike the face, were of a clayey brown hue, and bore an indistinct resemblance to human hands, in that they had four fingers and a thumb, though these were webbed up to the first joint, much as are a duck's.
talon;Amniota;body;PG10002;13.0;nails it had also, but so long and powerful that they were more like the talons of an eagle than aught else.
bush;Viburnum plicatum;organism;PG10002;14.0;i rushed to the door and looked 'round hurriedly, but only the tangled bushes and shrubs met my gaze.
pepper;Capsicum frutescens;organism;PG10002;14.0;i would have taken pepper with me, but judged it better to give his wound a chance to heal.
pepper;Capsicum frutescens;organism;PG10002;14.0;at first, i searched, cautiously, with the thought of pepper's wound in my mind, but, as the hours passed, and not a sign of anything living, showed in the great, lonely gardens, i became less apprehensive.
bush;Viburnum plicatum;organism;PG10002;14.0;anything seemed better than this silence, with the ever-present feeling that the creature might be lurking in every bush i passed.
bush;Viburnum plicatum;organism;PG10002;14.0;later, i grew careless of danger, to the extent of plunging right through the bushes, probing with my gun barrel as i went.
wildcat;Felis silvestris;organism;PG10002;14.0;i told her, that i had seen the wildcat that had wounded pepper, and that i was trying to hunt it out of the bushes.
pepper;Capsicum frutescens;organism;PG10002;14.0;i told her, that i had seen the wildcat that had wounded pepper, and that i was trying to hunt it out of the bushes.
bush;Viburnum plicatum;organism;PG10002;14.0;i told her, that i had seen the wildcat that had wounded pepper, and that i was trying to hunt it out of the bushes.
bush;Viburnum plicatum;organism;PG10002;14.0;then, as i turned homeward, i heard a short, unintelligible noise, among the bushes to my right.
bush;Viburnum plicatum;organism;PG10002;14.0;immediately afterward, i heard something scuttling away among the bushes.
snake;Serpentes;organism;PG10002;15.0;i felt as i imagine an animal must, under the eye of a snake.
animal;Animalia;organism;PG10002;15.0;i felt as i imagine an animal must, under the eye of a snake.
tree;Tracheophyta;organism;PG10002;15.0;nothing was to be seen, save the grey vista of dreary, tangled bushes and trees, extending to the distant plantation.
bush;Viburnum plicatum;organism;PG10002;15.0;nothing was to be seen, save the grey vista of dreary, tangled bushes and trees, extending to the distant plantation.
animal;Animalia;organism;PG10002;16.0;it assured me that they must not be regarded, by any means, as mere animals.
pig;Sus;organism;PG10002;17.0;it might have been mistaken, by a casual listener, for the grunting and squealing of a herd of pigs.
pig;Suidae;organism;PG10002;17.0;it might have been mistaken, by a casual listener, for the grunting and squealing of a herd of pigs.
beast;Animalia;organism;PG10002;17.0;and then, i would go up to my study, for i knew sleep was out of the question, with the house surrounded by creatures, half beasts, half something else, and entirely unholy.
brick;Thunbergia mysorensis;organism;PG10002;17.0;in a glance, i saw that the place was empty, save for the heavy, stone slabs, supported by brick pillars, and i was about to leave it, convinced that i had been mistaken, when, in turning, my light was flashed back from two bright spots outside the window, and high up.
ray;Rajomorphii;organism;PG10002;18.0;as they burnt up, their rays were reflected from the rack of firearms on the sidewall.
animal;Animalia;organism;PG10002;18.0;at the sight, i remembered that i had there a power, which, as i had proved earlier, seemed as fatal to those monsters as to more ordinary animals, and i determined i would take the offensive.
tree;Tracheophyta;organism;PG10002;18.0;the gardens presented a dim blur of shadows--a little blacker, perhaps, where the trees stood.
grunt;Haemulon;organism;PG10002;18.0;the gardens were comparatively quiet now, and only an occasional grunt or squeal came up to me.
tree;Tracheophyta;organism;PG10002;18.0;from where i sat, i could see it over the trees, but it was not until it rose clear of them, that i could make out any of the details in the gardens below.
crane;Grus;organism;PG10002;18.0;even then, i could see none of the brutes, until, happening to crane forward, i saw several of them lying prone, up against the wall of the house.
bush;Viburnum plicatum;organism;PG10002;19.0;several times, i saw the moonlight gleam on running, white figures among the bushes, and, twice, i fired.
oak;Quercus;organism;PG10002;19.0;luckily, they are all, like the back one, built of solid, iron-studded oak.
grunt;Haemulon;organism;PG10002;19.0;suddenly, there sounded a quick, low grunt, and the door creaked under a tremendous pressure.
talon;Amniota;body;PG10002;20.0;it had something in its talons, which it put to its mouth and tore at....
oak;Quercus;organism;PG10002;21.0;first, i went down to the basement, and, rummaging 'round, found several pieces of heavy oak planking.
ray;Rajomorphii;organism;PG10002;22.0;it was quite light now, though the sun's rays were not, as yet, perceptibly hot.
animal;Animalia;organism;PG10002;23.0;she glanced up quickly, like a frightened animal, and screamed aloud.
pepper;Capsicum frutescens;organism;PG10002;23.0;i could do nothing more for her, and so, crossed to where pepper lay in a big basket.
dog;Canis lupus familiaris;organism;PG10002;23.0;my sister had taken charge of him since his wound, to nurse him, for it had proved more severe than i had thought, and i was pleased to note that, in spite of her state of mind, she had looked after the old dog, carefully.
dog;Canidae;organism;PG10002;23.0;my sister had taken charge of him since his wound, to nurse him, for it had proved more severe than i had thought, and i was pleased to note that, in spite of her state of mind, she had looked after the old dog, carefully.
dog;Canis lupus familiaris;organism;PG10002;23.0;if only i could have gone out into the gardens, as is my wont, i should have been content enough, but to be cooped in this silent house, with no companion, save a mad woman and a sick dog, was enough to prey upon the nerves of the hardiest.
dog;Canidae;organism;PG10002;23.0;if only i could have gone out into the gardens, as is my wont, i should have been content enough, but to be cooped in this silent house, with no companion, save a mad woman and a sick dog, was enough to prey upon the nerves of the hardiest.
pepper;Capsicum frutescens;organism;PG10002;23.0;the second time, i found her tending pepper, but, at my approach, she slid over, unobtrusively, to the far corner, with a gesture that saddened me beyond belief.
pepper;Capsicum frutescens;organism;PG10002;24.0;then, feeling that i had done all that lay in my power to insure our safety, i returned to the tower, calling in on my sister and pepper, for a final visit, on the way.
pepper;Capsicum frutescens;organism;PG10002;24.0;pepper was asleep, but woke, as i entered, and wagged his tail, in recognition.
ray;Rajomorphii;organism;PG10002;24.0;great, gloomy caverns of places, unlit by any ray of daylight.
flicker;Colaptes;organism;PG10002;24.0;as i stood, i noticed how quietly the candle burnt, never a flicker nor flare, so utterly windless was the place.
pepper;Capsicum frutescens;organism;PG10002;26.0;crossing the floor, i approached pepper.
pepper;Capsicum frutescens;organism;PG10002;26.0;earlier in the morning, i had been to see pepper.
wildcat;Felis silvestris;organism;PG10002;26.0;in the short discussion that followed, i was surprised to gather, from my sister's remarks, that she was still under the impression that his wound had been given by the wildcat, of my invention.
pepper;Capsicum frutescens;organism;PG10002;27.0;on the sixth day, i had the pleasure of seeing pepper, once more, upon his feet, and, though still very weak, he managed to keep me company during the whole of that day.
pepper;Capsicum frutescens;organism;PG10002;27.0;with this purpose in view, i loaded one of the shotguns, carefully--choosing it, as being more deadly than a rifle, at close quarters, and then, after a final scrutiny of the grounds, from the tower, i called pepper to follow me, and made my way down to the basement.
pepper;Capsicum frutescens;organism;PG10002;27.0;pepper followed, stopping at the doorstep to sniff, suspiciously, and carrying his nose up and down the jambs, as though following a scent.
dog;Canis lupus familiaris;organism;PG10002;27.0;hitherto, i had stood, watching the dog, yet, all the time, with half my gaze on the wild tangle of gardens, stretching 'round me.
dog;Canidae;organism;PG10002;27.0;hitherto, i had stood, watching the dog, yet, all the time, with half my gaze on the wild tangle of gardens, stretching 'round me.
pepper;Capsicum frutescens;organism;PG10002;27.0;pepper, as soon as i walked away, left the door, and ran ahead, still nosing and sniffing as he went along.
pepper;Capsicum frutescens;organism;PG10002;27.0;pepper could not be easily deceived, and it was a relief to feel that he would know, and give me timely warning, if there were any danger.
grass;Agrostis capillaris;organism;PG10002;28.0;leaving, i continued my tour 'round the house, finding little else of interest, save at the back, where i came across the piece of piping i had torn from the wall, lying among the long grass underneath the broken window.
grass;Poaceae;organism;PG10002;28.0;leaving, i continued my tour 'round the house, finding little else of interest, save at the back, where i came across the piece of piping i had torn from the wall, lying among the long grass underneath the broken window.
pepper;Capsicum frutescens;organism;PG10002;28.0;leaving the study, i went down to the back door, followed by pepper.
pepper;Capsicum frutescens;organism;PG10002;28.0;pepper was running ahead, i noticed, without any apparent hesitation.
pepper;Capsicum frutescens;organism;PG10002;29.0;pepper had been sitting on the grass, while i conducted my examination.
grass;Agrostis capillaris;organism;PG10002;29.0;pepper had been sitting on the grass, while i conducted my examination.
grass;Poaceae;organism;PG10002;29.0;pepper had been sitting on the grass, while i conducted my examination.
pepper;Capsicum frutescens;organism;PG10002;29.0;all this while, pepper had shown no signs of uneasiness.
grass;Agrostis capillaris;organism;PG10002;29.0;so far as i could see, his attention appeared to have been taken, chiefly, with scratching and sniffing among the grass at the edge of the pit.
grass;Poaceae;organism;PG10002;29.0;so far as i could see, his attention appeared to have been taken, chiefly, with scratching and sniffing among the grass at the edge of the pit.
pepper;Capsicum frutescens;organism;PG10002;29.0;during the afternoon, i made a partial search of the gardens, accompanied by pepper, but, without coming upon anything to indicate the presence of the creatures.
pepper;Capsicum frutescens;organism;PG10002;29.0;once, as we made our way through the shrubberies, pepper rushed in among some bushes, with a fierce yelp.
bush;Viburnum plicatum;organism;PG10002;29.0;once, as we made our way through the shrubberies, pepper rushed in among some bushes, with a fierce yelp.
cat;Felis;organism;PG10002;29.0;at that, i jumped back, in sudden fright, and threw my gun forward, in readiness, only to laugh, nervously, as pepper reappeared, chasing an unfortunate cat.
pepper;Capsicum frutescens;organism;PG10002;29.0;at that, i jumped back, in sudden fright, and threw my gun forward, in readiness, only to laugh, nervously, as pepper reappeared, chasing an unfortunate cat.
pepper;Capsicum frutescens;organism;PG10002;30.0;all at once, as we were passing a great clump of bushes, on our right, pepper disappeared, and i could hear him sniffing and growling among them, in a suspicious manner.
bush;Viburnum plicatum;organism;PG10002;30.0;all at once, as we were passing a great clump of bushes, on our right, pepper disappeared, and i could hear him sniffing and growling among them, in a suspicious manner.
animal;Animalia;organism;PG10002;30.0;there was nothing to be seen, save that many of the branches were bent down, and broken, as though some animal had made a lair there, at no very previous date.
tree;Tracheophyta;organism;PG10002;30.0;thus, a day came, when, throwing thoughts and fancies adrift, i procured a rope from the house, and, having made it fast to a stout tree, at the top of the rift, and some little distance back from the pit edge, let the other end down into the cleft, until it dangled right across the mouth of the dark hole.
tree;Tracheophyta;organism;PG10002;31.0;as before, i fastened the rope to the tree.
pepper;Capsicum frutescens;organism;PG10002;31.0;at this movement, pepper, who had been eyeing my actions, watchfully, rose to his feet, and ran to me, with a half bark, half wail, it seemed to me, of warning.
pepper;Capsicum frutescens;organism;PG10002;31.0;yet, having made up my mind, i had no intention of giving up the attempt, and, with a sharp word to pepper, to release me, i continued my descent, leaving the poor old fellow at the top, barking and crying like a forsaken pup.
pepper;Capsicum frutescens;organism;PG10002;31.0;for the first minute, i could hear the melancholy sound of pepper's howling, coming down to me.
ray;Rajomorphii;organism;PG10002;32.0;i had not long to wait, but a few seconds, before two eyes reflected back from the gloom, the rays of my candle.
pepper;Capsicum frutescens;organism;PG10002;32.0;it was pepper.
pepper;Capsicum frutescens;organism;PG10002;32.0;having waited a minute, or so, to steady myself, i proceeded along the way, pepper following, quietly.
pepper;Capsicum frutescens;organism;PG10002;33.0;then, even as i stood, pepper gave a sudden howl, that was taken up by the echoes, and repeated with ghastly variations, dying away, slowly.
dog;Canis lupus familiaris;organism;PG10002;33.0;with a quick movement, i held aloft the one candle that i had kept, and glanced down at the dog, at the same moment, i seemed to hear a noise, like a diabolical chuckle, rise up from the hitherto, silent depths of the pit.
dog;Canidae;organism;PG10002;33.0;with a quick movement, i held aloft the one candle that i had kept, and glanced down at the dog, at the same moment, i seemed to hear a noise, like a diabolical chuckle, rise up from the hitherto, silent depths of the pit.
pepper;Capsicum frutescens;organism;PG10002;33.0;i started, then, i recollected that it was, probably, the echo of pepper's howl.
pepper;Capsicum frutescens;organism;PG10002;33.0;pepper had moved away from me, up the passage, a few steps, he was nosing along the rocky floor, and i thought i heard him lapping.
pepper;Capsicum frutescens;organism;PG10002;33.0;again, pepper gave vent to that deep-drawn howl, and, running at me, seized my coat, and attempted to drag me up the path toward the entrance.
flicker;Colaptes;organism;PG10002;33.0;the three nearest candles went out, but the further ones gave only a short flicker.
pepper;Capsicum frutescens;organism;PG10002;33.0;pepper had, fortunately, followed me as i leapt for the ledge, and now, very much subdued, kept close behind.
pepper;Capsicum frutescens;organism;PG10002;33.0;then, with a call to pepper, i stepped out into the flood, using the gun as a staff.
pepper;Capsicum frutescens;organism;PG10002;33.0;of pepper, i knew nothing at first.
dog;Canis lupus familiaris;organism;PG10002;33.0;he is a big dog, with longish thin legs, and i suppose the water had less grasp on them, than upon mine.
dog;Canidae;organism;PG10002;33.0;he is a big dog, with longish thin legs, and i suppose the water had less grasp on them, than upon mine.
pepper;Capsicum frutescens;organism;PG10002;34.0;it was pepper.
pepper;Capsicum frutescens;organism;PG10002;34.0;if my impressions are correct, i must have been washed down to the very brink of that awful chasm, before pepper managed to bring me to a standstill.
pepper;Capsicum frutescens;organism;PG10002;34.0;and there was i, without my helpful gun, without light, and sadly confused, with the water deepening, depending solely upon my old friend pepper, to help me out of that hellish place.
pepper;Capsicum frutescens;organism;PG10002;34.0;naturally, it was the only way in which i could have sustained my position a moment, for even old pepper could not have held me long against that terrific strain, without assistance, however blind, from me.
pepper;Capsicum frutescens;organism;PG10002;34.0;slowly, furiously, almost hopelessly, i strove, and that faithful pepper led me, dragged me, upward and onward, until, at last, ahead i saw a gleam of blessed light.
pepper;Capsicum frutescens;organism;PG10002;34.0;seizing the end, i knotted it securely 'round pepper's body, then, summoning up the last remnant of my strength, i commenced to swarm up the side of the cliff.
pepper;Capsicum frutescens;organism;PG10002;34.0;yet, i had to make one more effort, and haul pepper into safety.
dog;Canis lupus familiaris;organism;PG10002;34.0;once or twice, it seemed that i should have to give up, for pepper is a weighty dog, and i was utterly done.
pepper;Capsicum frutescens;organism;PG10002;34.0;once or twice, it seemed that i should have to give up, for pepper is a weighty dog, and i was utterly done.
dog;Canidae;organism;PG10002;34.0;once or twice, it seemed that i should have to give up, for pepper is a weighty dog, and i was utterly done.
pepper;Capsicum frutescens;organism;PG10002;34.0;i have also some recollection of seeing pepper's muzzle, appearing over the pit edge, after what seemed an indefinite period of time.
pepper;Capsicum frutescens;organism;PG10002;34.0;i was lying on my back, with one leg doubled under the other, and pepper was licking my ears.
tree;Tracheophyta;organism;PG10002;34.0;it had stopped raining, but the trees still dripped, dismally.
pepper;Capsicum frutescens;organism;PG10002;35.0;i had gone, perhaps, some thirty paces, when a cry from pepper, drew my attention, and i turned, stiffly, toward him.
tree;Tracheophyta;organism;PG10002;35.0;the old dog was trying to follow me, but could come no further, owing to the rope, with which i had hauled him up, being still tied 'round his body, the other end not having been unfastened from the tree.
dog;Canis lupus familiaris;organism;PG10002;35.0;the old dog was trying to follow me, but could come no further, owing to the rope, with which i had hauled him up, being still tied 'round his body, the other end not having been unfastened from the tree.
dog;Canidae;organism;PG10002;35.0;the old dog was trying to follow me, but could come no further, owing to the rope, with which i had hauled him up, being still tied 'round his body, the other end not having been unfastened from the tree.
oak;Quercus;organism;PG10002;35.0;i had a lantern with me, and the idea came to me, that now would be a good time to investigate whatever lay under the great, oak slab.
pepper;Capsicum frutescens;organism;PG10002;38.0;pepper and i kept one another company in the study--that great, old room of mine, where i read and work.
pepper;Capsicum frutescens;organism;PG10002;38.0;i looked across at pepper.
tree;Tracheophyta;organism;PG10002;39.0;in a minute, it seemed, it had reached the tops of the trees, through which i had watched it.
tree;Tracheophyta;organism;PG10002;39.0;and the movement of the shadows was visible to me--a stealthy, writhing creep of the shadows of the wind-stirred trees.
tree;Tracheophyta;organism;PG10002;39.0;through the trees, i saw it, and then it was above the trees.
swift;Apodidae;organism;PG10002;39.0;it passed, with a swift, steady swing to its highest altitude, and fell thence, westward.
swift;Apodidae;organism;PG10002;39.0;the sun went down with one swift, clear plunge, and there was about me, for a few seconds, the darker growing grey of the gloaming.
swift;Apodidae;organism;PG10002;40.0;to see the sun rise and set, within a space of time to be measured by seconds, to watch,after a little,the moon leap--a pale, and ever growing orb--up into the night sky, and glide, with a strange swiftness, through the vast arc of blue, and, presently, to see the sun follow, springing out of the eastern sky, as though in chase, and then again the night, with the swift and ghostly passing of starry constellations, was all too much to view believingly.
pepper;Capsicum frutescens;organism;PG10002;40.0;once, i turned from the window, and glanced at pepper.
pepper;Capsicum frutescens;organism;PG10002;41.0;all this while had pepper slept.
pepper;Capsicum frutescens;organism;PG10002;41.0;for the space of, perhaps a minute, i stared down at the shapeless heap, that had once been pepper.
pepper;Capsicum frutescens;organism;PG10002;41.0;suddenly, as my glance fell again upon pepper's remains, i stood still, and gave voice to my confusion--questioning, aloud, whether the years were, indeed, passing, whether this, which i had taken to be a form of vision, was, in truth, a reality.
rust;Pucciniales;organism;PG10002;41.0;the fender was a shape of rust.
pepper;Capsicum frutescens;organism;PG10002;42.0;was she dead, as well as pepper?
flicker;Colaptes;organism;PG10002;42.0;i can best describe the passage of day and night, at this period, as a sort of gigantic, ponderous flicker.
flicker;Colaptes;organism;PG10002;42.0;the flicker of the days and nights quickened.
flicker;Colaptes;organism;PG10002;42.0;quicker, and ever quicker, ran the flicker of day and night, and, suddenly it seemed, i was aware that the flicker had died out, and, instead, there reigned a comparatively steady light, which was shed upon all the world, from an eternal river of flame that swung up and down, north and south, in stupendous, mighty swings.
pepper;Capsicum frutescens;organism;PG10002;42.0;i looked at the little dust-heap that had once been pepper.
pepper;Capsicum frutescens;organism;PG10002;43.0;i thought of pepper, and wondered how it was that i had not followed his fate.
pepper;Capsicum frutescens;organism;PG10002;43.0;undoubtedly, atoms of the old, decayed furniture helped to swell its bulk, and, somewhere among it all, mouldered the long-ago-dead pepper.
ray;Rajomorphii;organism;PG10002;47.0;beyond this, there was no ray in all the vastitude of night that surrounded me, save that, far in the north, that soft, mistlike glow still shone.
ray;Rajomorphii;organism;PG10002;49.0;with increased size, its color became more impressive, reminding me of a huge emerald, scintillating rays of fire across the world.
ray;Rajomorphii;organism;PG10002;50.0;for a time, fear held me, and i prayed, wildly and incoherently, for some ray of light with which to dispel the cold blackness that enveloped the world.
ray;Rajomorphii;organism;PG10002;50.0;suddenly, a ray of vivid green, flashed across the darkness.
ray;Rajomorphii;organism;PG10002;50.0;13,gradually, as the earth traveled forward, the star fell still more to the right, until, at last, it shone on the back of the house, sending a flood of broken rays, in through the skeleton-like walls.
ray;Rajomorphii;organism;PG10002;51.0;then--with a loom of unearthly glory--the first ray from the green star, struck over the edge of the dark sun, and lit the world.
ray;Rajomorphii;organism;PG10002;55.0;for the first time, i perceived that innumerable rays, of a subtle, violet hue, pierced the strange semi-darkness, in all directions.
ray;Rajomorphii;organism;PG10002;55.0;gradually, as i looked, i became aware that fine points of intensely brilliant light, traversed the rays.
ray;Rajomorphii;organism;PG10002;55.0;others came out of the void, toward the sun, but one and all, each kept strictly to the ray in which it traveled.
ray;Rajomorphii;organism;PG10002;55.0;the discovery of these rays, and the moving sparks, interested me, extraordinarily.
ray;Rajomorphii;organism;PG10002;55.0;an age, and i saw again the violet rays.
pepper;Capsicum frutescens;organism;PG10002;58.0;xxiii pepper i was seated in my chair, back again in this old study.
pepper;Capsicum frutescens;organism;PG10002;58.0;presently, amid the chaos of my senses, a sudden thought came to me, i turned, quickly, and called to pepper.
pepper;Capsicum frutescens;organism;PG10002;58.0;there was no pepper, instead, i was reaching toward an elongated, little heap of grey, ashlike dust....
pepper;Capsicum frutescens;organism;PG10002;58.0;pepper had really passed into the land of shadows.
pepper;Capsicum frutescens;organism;PG10002;58.0;xxiv the footsteps in the garden pepper is dead!
